'bout	baʊt
versicherung	vɚˈsɪtʃ.ɚ.əŋ
versicherungs	vɚˈsɪtʃ.ɚ.əŋz
version	ˈvɝ.ʒən
versions	ˈvɝ.ʒənz
versluis	ˈvɝ.slu.ɪz
versteeg	ˈvɝ.stiɡ
verstraete	ˈvɝ.stɹɛt
versus	ˈvɝ.səs|ˈvɝ.səz
vert	vɝt
vertebra	ˈvɝ.tə.bɹə
vertebrae	ˈvɝ.təˌbɹeɪ
vertebral	ˈvɝ.tə.bɹəl
vertebrate	ˈvɝ.təˌbɹeɪt
vertebrates	ˈvɝ.təˌbɹeɪts
vertel	ˌvɝˈtɛl
vertel's	ˌvɝˈtɛlz
vertex	ˈvɝˌtɛks
vertibrak	ˈvɝ.tə.bɹæk
vertical	ˈvɝ.tɪ.kəl
vertically	ˈvɝ.tɪ.kli
vertices	ˈvɝ.tɪˌsiz
verticom	ˈvɝ.tɪ.kɑm
vertigo	ˈvɝ.tɪˌɡoʊ
vertol	ˈvɝ.tɑl
vertrees	vɚˈtɹiz
vertucci	vɚˈtu.tʃi
vertz	vɝts
verve	vɝv
verville	ˈvɝ.vɪl
verwey	ˈvɝ.wi
verwoerd	vɚˈwɔɹd
very	ˈvɛɹ.i
vescinoid	ˈvɛs.ɪˌnɔɪd
vescio	ˈvɛs.i.oʊ
vesco	ˈvɛs.koʊ
vesel	ˈvɛs.əl
veselka	veɪˈseɪl.kə
vesely	ˈviz.li
vesey	ˈvɛs.i
vesicle	ˈvɛz.ɪ.kəl
vesicles	ˈvɛz.ɪ.kəlz
vesmen	ˈvɛs.mən
vesna	ˈvɛs.nə
vespa	ˈveɪ.spə
vesper	ˈvɛs.pɚ
vespera	veɪˈspɛɹ.ə
vess	vɛs
vessel	ˈvɛs.əl
vessel's	ˈvɛs.əlz
vessell	ˈvɛs.əl
vessels	ˈvɛs.əlz
vessels's	ˈvɛs.əl.zɪz
vesser	ˈvɛs.ɚ
vessey	ˈvɛs.i
vest	vɛst
vesta	ˈvɛs.tə
vestal	ˈvɛs.təl
vestar	ˈvɛs.tɚ
vested	ˈvɛs.tɪd
vester	ˈvɛs.tɚ
vestibular	ˌvɛˈstɪb.ju.lɚ
vestibule	ˈvɛs.tɪˌbjul
vestibules	ˈvɛs.tɪˌbjulz
vestige	ˈvɛs.tɪdʒ
vestiges	ˈvɛs.tɪ.dʒɪz
vestigial	vəˈstɪdʒ.i.əl
vesting	ˈvɛs.tɪŋ
vestment	ˈvɛst.mɛnt
vestments	ˈvɛst.mɛnts
vestron	ˈvɛs.tɹən
vestron's	ˈvɛs.tɹənz
vests	vɛsts
vesuvius	vəˈsu.vi.əs
vet	vɛt
veta	ˈvɛt.ə
vetco	ˈvɛt.koʊ
veteran	ˈvɛt.ɚ.ən|ˈvɛt.ɹən
veteran's	ˈvɛt.ɚ.ənz
veterans	ˈvɛt.ɚ.ənz|ˈvɛt.ɹənz
veterans'	ˈvɛt.ɚ.ənz|ˈvɛt.ɹənz
vetere	ˈvɛt.ɚ
veterinarian	ˌvɛ.tɹəˈnɛɹ.i.ən|ˌvɛ.tɚ.əˈnɛɹ.i.ən
veterinarians	ˌvɛ.tɹəˈnɛɹ.i.ənz|ˌvɛ.tɚ.əˈnɛɹ.i.ənz
veterinary	ˈvɛt.ɹəˌnɛ.ɹi
veteto	vɛˈtɛt.oʊ
veto	ˈviˌtoʊ
vetoed	ˈviˌtoʊd
vetoes	ˈviˌtoʊz
vetoing	ˈviˌtoʊ.ɪŋ
vetos	ˈviˌtoʊz
vetrano	vɛˈtɹɑ.noʊ
vets	vɛts
vetsch	vɛtʃ
vette	vɛt
vetted	ˈvɛt.ɪd
vetter	ˈvɛt.ɚ
vetting	ˈvɛt.ɪŋ
veuve	vjuv
vevay	ˈvɛv.eɪ
veverka	veɪˈvɛɹ.kə
vevey	ˈvɛv.i
vevila	veɪˈvi.lə
vex	vɛks
vexatious	vɛkˈseɪ.ʃəs
vexed	vɛkst
vexes	ˈvɛk.sɪz
vexing	ˈvɛk.sɪŋ
vey	veɪ
veyne	veɪn
vezina	vɛˈzi.nə
vi	vaɪ|vi
via	ˈvaɪ.ə|ˈvi.ə
viability	vaɪ.əˈbɪl.ə.ti
viable	ˈvaɪ.ə.bəl
viacom	ˈvaɪ.ə.kɑm
viacom's	ˈvaɪ.ə.kɑmz
viaduct	ˈvaɪ.ə.dəkt
viaducts	ˈvaɪ.ə.dəkts
viag	ˈvaɪ.æɡ
viag's	ˈvaɪ.æɡz
viagene	ˈvaɪ.əˌdʒin
viagra	viˈæɡ.ɹə
vial	ˈvaɪ.əl
viall	ˈvaɪ.əl
vialpando	vi.ɑlˈpɑn.doʊ
vials	ˈvaɪ.əlz
vian	ˈvi.ən
viana	viˈæn.ə
viani	viˈɑ.ni
viano	viˈɑ.noʊ
viansa	viˈɑn.sə
viar	ˈvaɪ.ɚ
viars	ˈvaɪ.ɚz
viatical	ˌvaɪˈæt.ɪ.kəl
viator	vaɪˈeɪ.tɚ
viau	viˈoʊ
vibbert	ˈvɪb.ɚt
vibe	vaɪb
viber	ˈvaɪ.bɚ
vibes	vaɪbz
vibhu	ˈvi.bu
vibrancy	ˈvaɪ.bɹən.si
vibrant	ˈvaɪ.bɹənt
vibrate	ˈvaɪ.bɹeɪt
vibrates	ˈvaɪ.bɹeɪts
vibrating	ˈvaɪ.bɹeɪ.tɪŋ
vibration	vaɪˈbɹeɪ.ʃən
vibrational	vaɪˈbɹeɪ.ʃə.nəl
vibrations	vaɪˈbɹeɪ.ʃənz
vibrato	viˈbɹɑ.toʊ
vibrator	ˈvaɪ.bɹeɪ.tɚ
vibrators	ˈvaɪ.bɹeɪ.tɚz
vic	vɪk
vic's	vɪks
vicar	ˈvɪk.ɚ
vicari	viˈkɑ.ɹi
vicario	viˈkɑ.ɹi.oʊ
vicarious	vaɪˈkɛɹ.i.əs
vicariously	vaɪˈkɛɹ.i.ə.sli
vicars	ˈvɪk.ɚz
vicary	ˈvɪk.ɚ.i
vice	vaɪs
vice-president	ˈvaɪˈspɹɛz.ə.dənt
vice-presidential	ˈvaɪˌspɹɛ.zəˈdɛn.tʃəl|ˈvaɪˌspɹɛ.zəˈdɛn.ʃəl
vice-presidents	ˈvaɪˈspɹɛz.ə.dənts
vicencio	vɪˈsɛn.si.oʊ
vicente	viˈtʃɛn.ti
vicenzi	vɪˈsɛn.zi
viceroy	ˈvaɪs.ɹɔɪ
vices	ˈvaɪ.səz|ˈvaɪ.sɪz
vichy	ˈvi.ʃi
vichyssoise	ˌvi.ʃɪˈswɑz
vicinity	vəˈsɪn.ə.ti|vɪˈsɪn.ɪ.ti
vicino	viˈtʃi.noʊ
vicious	ˈvɪʃ.əs
viciously	ˈvɪʃ.ə.sli
viciousness	ˈvɪʃ.ə.snɪs
vicissitude	ˌvɪˈsɪs.ɪ.tud
vicissitudes	vɪˈsɪs.ɪ.tudz
vick	vɪk
vicker	ˈvɪk.ɚ
vickerman	ˈvɪk.ɚ.mən
vickers	ˈvɪk.ɚz
vickery	vɪˈskɝ.i|vɪˈkɝ.i
vickey	ˈvɪk.i
vicki	ˈvɪk.i
vickie	ˈvɪk.i
vickland	ˈvɪk.lənd
vicknair	ˈvɪk.nɚ
vickrey	ˈvɪk.ɹi
vickroy	ˈvɪkˌɹɔɪ
vicks	vɪks
vicksburg	ˈvɪks.bɚɡ
vicky	ˈvɪk.i
vicky's	ˈvɪk.iz
vicomte	vɪˈkɑm.ti|vɪˈkɑmt
vicon	ˈvɪk.ən
vicon's	ˈvɪk.ənz
vicorp	ˈvaɪ.kɔɹp
victim	ˈvɪk.təm|ˈvɪk.tɪm
victim's	ˈvɪk.təmz|ˈvɪk.tɪmz
victimhood	ˈvɪk.təmˌhʊd
victimization	ˌvɪk.tə.məˈzeɪ.ʃən
victimize	ˈvɪk.tə.maɪz
victimized	ˈvɪk.tə.maɪzd
victimizing	ˈvɪk.tə.maɪ.zɪŋ
victimless	ˈvɪk.təm.ləs
victims	ˈvɪk.təmz|ˈvɪk.tɪmz
victims'	ˈvɪk.tɪmz
victoire	vɪkˈtwɑɹ
victor	ˈvɪk.tɚ
victor's	ˈvɪk.tɚz
victoria	vɪkˈtɔ.ɹi.ə
victoria's	vɪkˈtɔ.ɹi.əz
victorian	vɪkˈtɔ.ɹi.ən
victorians	vɪkˈtɔ.ɹi.ənz
victorias	vɪkˈtɔ.ɹi.əz
victories	ˈvɪk.tɚ.iz|ˈvɪk.tɹiz
victorine	vik.tɔˈɹi.ni
victorino	vik.tɔˈɹi.noʊ
victorious	vɪkˈtɔ.ɹi.əs
victors	ˈvɪk.tɚz
victory	ˈvɪk.tɚ.i|ˈvɪk.tɹi
vicuna	vɪˈkju.nə
vida	ˈvaɪ.də
vidal	vaɪˈdæl
vidales	viˈdɑ.lɛs
vidalia	vɪˈdeɪ.ljə|vaɪˈdeɪ.ljə
vidartes	vɪˈdɑɹ.tɛs
vidaurri	vɪˈdɔ.ɹi
vide	vaɪd
video	ˈvɪd.i.oʊ
video's	ˈvɪd.i.oʊz
videocassette	ˈvɪd.i.oʊ.kæˌsɛt
videocassettes	ˈvɪd.i.oʊ.kæˌsɛts
videoconference	ˈvi.di.oʊˌkɑn.fɹəns
videoconferencing	ˌvi.di.oʊˈkɑn.fɹən.sɪŋ
videodisk	ˈvɪd.i.oʊˌdɪsk
videodisks	ˈvɪd.i.oʊˌdɪsks
videogame	ˈvɪd.i.oʊˌɡeɪm
videographer	vɪ.diˈɔ.ɡɹə.fɚ
videophile	ˈvɪd.i.oʊˌfaɪ.əl
videophone	ˈvɪd.i.oʊˌfoʊn
videos	ˈvɪd.i.oʊz
videotape	ˈvɪd.i.oʊˈteɪp
videotaped	ˈvɪd.i.oʊˈteɪpt
videotapes	ˈvɪd.i.oʊˈteɪps
videotaping	ˈvɪd.i.oʊˌteɪ.pɪŋ
videotex	ˈvɪd.i.oʊˌtɛks
videotext	ˈvɪd.i.oʊˌtɛkst
videotron	ˈvɪd.i.oʊˌtɹɑn
vidigo	ˈvɪd.iˌɡoʊ
vidmar	ˈvɪd.mɚ
vidonia	viˈdoʊ.ni.ə
vidor	ˈvi.dɔɹ|ˈvɪd.ɔɹ
vidrine	viˈdɹin
vie	vaɪ
vieau	viˈoʊ
viebrock	ˈvi.bɹək
vied	vaɪd
viedma	ˈvid.mə
viegas	ˈvi.ɡəz
vieira	viˈɛɹ.ə
viejo	viˈɛdʒ.oʊ
viel	vil
viele	vil
vielma	ˈvil.mə
vien	vin
vienna	viˈɛn.ə
vienna's	viˈɛn.əz
vienneau	vəˈnoʊ
viennese	viˈɛnˌis
vienot	ˈvi.nɑt
viens	vinz
viera	ˈvi.ɹə
viereck	ˈvɪɹ.ɪk
vierling	ˈvɪɹ.lɪŋ
vierra	ˈvɪɹ.ɑ
viers	vɪɹz
viertel	ˈvɪɹ.tɛl
viertel's	ˈvɪɹ.tɛlz
viertels	ˈvɪɹ.tɛlz
vies	vaɪz
viet	viˈɛt
vietcong	viˈɛtˈkɔŋ|ˈvjɛtˈkɔŋ
vieth	ˈvaɪ.ɪθ
vietnam	viˌɛtˈnɑm
vietnam's	viˌɛtˈnɑmz
vietnamese	viˌɛt.nɑˈmis
vietor	ˈvi.tɚ
viets	vits
vietti	viˈɛtˌi
view	vju
viewed	vjud
viewer	ˈvju.ɚ
viewer's	ˈvju.ɚz
viewers	ˈvju.ɚz
viewers'	ˈvju.ɚz
viewership	ˈvju.ɚˌʃɪp
viewfinder	ˈvjuˌfaɪn.dɚ
viewing	ˈvju.ɪŋ
viewpoint	ˈvjuˌpɔɪnt
viewpoints	ˈvjuˌpɔɪnts
views	vjuz
vieyra	viˈɛɹ.ə
vig	vɪɡ
vigdor	ˈvɪɡ.dɚ
vigeant	ˈvɪdʒ.ənt
vigeland	ˈvaɪ.ɡlənd
vigeland's	ˈvaɪ.ɡləndz
vigen	ˈvɪɡ.ən
viger	ˈvaɪ.ɡɚ|ˈvɪɡ.ɚ
viggiano	vɪ.dʒiˈɑˌnoʊ
vigil	ˈvɪdʒ.əl
vigilance	ˈvɪdʒ.ə.ləns
vigilant	ˈvɪdʒ.ə.lənt
vigilante	ˌvɪ.dʒəˈlæn.ti
vigilantes	ˌvɪ.dʒəˈlæn.tiz
vigilantism	ˌvɪ.dʒəˈlæn.tɪ.zəm
vigilia	viˈdʒi.li.ə
vigils	ˈvɪdʒ.əlz
viglione	vɪ.ɡliˈoʊˌni
vigliotti	vɪ.ɡliˈɔˌti
viglund	ˈvɪɡ.lənd
viglund's	ˈvɪɡ.ləndz
vigna	ˈvɪɡ.nə
vigneau	vɪɡˈnoʊ
vigneault	vɪɡˈnoʊ
vignette	vɪˈnjɛt|viˈnjɛt
vignettes	vɪˈnjɛts
vignola	viɡˈnoʊ.lɑ
vigo	ˈvi.ɡoʊ
vigor	ˈvɪɡ.ɚ
vigorito	vi.ɡɔˈɹi.toʊ
vigorous	ˈvɪɡ.ɚ.əs
vigorously	ˈvɪɡ.ɚ.ə.sli
vigue	viɡ
viguerie	ˈvɪɡ.ɚ.i|ˌviˈɡɛɹ.i
vigus	ˈvaɪ.ɡəs
vik	vɪk
vike	vaɪk
vikes	vaɪks
viking	ˈvaɪ.kɪŋ
viking's	ˈvaɪ.kɪŋz
vikings	ˈvaɪ.kɪŋz
viktor	ˈvɪk.tɚ
vila	ˈvi.lə
vilardo	viˈlɑɹˌdoʊ
vilas	ˈvi.lɑz
vile	vaɪl
viles	vaɪlz
vilhauer	ˈvɪl.haʊ.ɚ
vilification	ˌvɪ.lə.fəˈkeɪ.ʃən
vilified	ˈvɪl.ə.faɪd
vilify	ˈvɪl.ɪˌfaɪ
villa	ˈvɪl.ə
villa's	ˈvɪl.əz
villafana	vi.lɑˈfæn.ə
villafane	vi.lɑˈfɑ.neɪ
villafranca	ˌvɪ.ləˈfɹæŋ.kə
villafuerte	vi.lɑfˈwɛɹ.teɪ
village	ˈvɪl.ədʒ|ˈvɪl.ɪdʒ
village's	ˈvɪl.ɪ.dʒɪz
villager	ˈvɪl.ɪ.dʒɚ
villagers	ˈvɪl.ɪ.dʒɚz
villages	ˈvɪl.ə.dʒəz|ˈvɪl.ɪ.dʒɪz
villagomez	vi.lɑˈɡoʊ.mɛz
villagran	vi.lɑˈɡɹɑn
villagrana	vi.lɑˈɡɹæn.ə
villain	ˈvɪl.ən
villainous	ˈvɪl.ə.nəs
villains	ˈvɪl.ənz
villalba	viˈlɑl.bə
villalobos	vi.lɑˈloʊ.boʊz
villalon	vi.lɑˈlɔn
villalovos	vi.lɑˈloʊ.voʊz
villalpando	vi.lɑlˈpɑn.doʊ
villalva	viˈlɑl.və
villamil	vi.lɑˈmil
villani	viˈlɑ.ni
villano	viˈlɑ.noʊ
villanova	ˌvɪ.ləˈnoʊ.və
villanovan	ˌvɪ.ləˈnoʊ.vən
villanueva	vi.lɑnˈwɛv.ə
villar	ˈvɪl.ɚ
villard	ˈvɪl.ɚd
villareal	vɪ.lɚ.iˈɑl
villari	viˈlɑ.ɹi
villarreal	ˌvi.lɑˈɹil
villars	ˈvɪl.ɚz
villas	ˈvɪl.əz
villasana	ˌvi.lɑˈsæn.ə
villasenor	ˌvi.lɑ.sɛˈnɔɹ
villaverde	ˌvi.lɑˈvɛɹ.di
villavicencio	ˌvɪ.lə.vɪˈsɛn.si.oʊ
ville	vɪl
ville's	vɪlz
villegas	ˈvɪl.ɪ.ɡəz
villela	ˈvɪl.ɪ.lə
villella	viˈlɛl.ə
villeneuve	ˈvɪl.ɪ.nuv|ˈvɪl.nuv
villers	ˈvɪl.ɚz
villette	vɪˈlɛt
villi	ˈvɪl.i
villiers	ˈvɪl.jɚz
villines	ˈvɪlˌaɪnz
villwock	ˈvɪl.wək
vilma	ˈvɪl.mə
vilnius	ˈvɪl.ni.əs
viloria	viˈlɔˌɹi.ə
vim	vɪm
vin	vɪn
vina	ˈvi.nə
vinal	ˈvaɪ.nəl
vinca	ˈvɪŋ.kə
vince	vɪns
vince's	ˈvɪn.sɪs
vincelette	ˈvɪn.sɪ.lɛt
vincennes	ˌvɪnˈsɛn.əs
vincent	ˈvɪn.sənt|ˈvɪn.sɪnt
vincent's	ˈvɪn.sɪnts
vincente	vɪnˈtʃɛn.ti
vincenti	vinˈtʃɛn.ti
vincentia	vinˈtʃɛn.ʃə
vincenzo	vɪnˈsɛn.zoʊ
vinci	ˈvɪn.si|ˈvɪn.tʃi
vinci's	ˈvɪn.siz|ˈvɪn.tʃiz
vinciguerra	vin.tʃiˈɡɛɹ.ə
vindicate	ˈvɪn.də.keɪt
vindicated	ˈvɪn.də.keɪ.tɪd
vindicates	ˈvɪn.dɪˌkeɪts
vindication	vɪn.dəˈkeɪ.ʃən
vindicator	vɪn.dəˈkeɪ.tɚ
vindictive	vɪnˈdɪk.tɪv
vindictiveness	vɪnˈdɪk.tɪv.nəs
vine	vaɪn
vinegar	ˈvɪn.ə.ɡɚ
vinegars	ˈvɪn.ɪ.ɡɚz
vineland	ˈvaɪn.lənd
viner	ˈvaɪ.nɚ
vines	vaɪnz
vinet	ˈvɪn.ɪt
viney	ˈvaɪ.ni
vineyard	ˈvɪn.jɚd
vineyards	ˈvɪn.jɚdz
vingmed	ˈvɪŋ.mɛd
vingo	ˈvɪŋ.ɡoʊ
vini	ˈvi.ni
vinicio	vɪˈnɪs.i.oʊ
vinick	ˈvɪn.ɪk
vinick's	ˈvɪn.ɪks
vinik	ˈvɪn.ɪk
vinik's	ˈvɪn.ɪks
vining	ˈvaɪ.nɪŋ
vining's	ˈvaɪ.nɪŋz
vinita	viˈni.tə
vinje	vɪndʒ
vink	vɪŋk
vinnick	ˈvɪn.ɪk
vinnick's	ˈvɪn.ɪks
vinnie	ˈvɪn.i
vinny	ˈvɪn.i
vinocur	ˈvɪn.ə.kɚ
vinsant	ˈvin.sənt
vinso	ˈvɪn.soʊ
vinson	ˈvɪn.sən
vint	vɪnt
vintage	ˈvɪn.tɪdʒ
vintages	ˈvɪn.tɪ.dʒɪz
vintner	ˈvɪnt.nɚ
vintners	ˈvɪnt.nɚz
vinton	ˈvɪn.tən
vinyard	ˈvɪn.jɚd
vinyl	ˈvaɪ.nəl
vinzant	ˈvɪn.zənt
viola	vaɪˈoʊ.lə|viˈoʊ.lə
violable	ˈvaɪ.ə.lə.bəl
violante	vi.oʊˈlɑn.ti
violas	viˈoʊ.ləz
violate	ˈvaɪ.ə.leɪt
violated	ˈvaɪ.ə.leɪ.tɪd
violates	ˈvaɪ.ə.leɪts
violating	ˈvaɪ.ə.leɪ.tɪŋ
violation	vaɪ.əˈleɪ.ʃən
violations	vaɪ.əˈleɪ.ʃənz
violator	ˈvaɪ.əˌleɪ.tɚ
violators	ˈvaɪ.ə.leɪ.tɚz
viole	ˌvaɪˈoʊl
violence	ˈvaɪ.ə.ləns
violent	ˈvaɪ.ə.lənt|ˈvaɪ.lənt
violently	ˈvaɪ.ə.lənt.li|ˈvaɪ.lənt.li
violet	ˈvaɪ.ə.lɪt|ˈvaɪ.lɪt
violeta	ˌvi.oʊˈlɛt.ə|ˌvaɪ.oʊˈlɛt.ə
violets	ˈvaɪ.ə.ləts|ˈvaɪ.ləts
violett	ˈvaɪ.ə.lət|ˈvaɪ.lət|ˌvi.oʊˈlɛt
violetta	vi.oʊˈlɛt.ə
violette	ˌvi.oʊˈlɛt
violin	vaɪ.əˈlɪn
violinist	vaɪ.əˈlɪn.əst
violinists	vaɪ.əˈlɪn.əsts
violins	vaɪ.əˈlɪnz
violist	ˌviˈoʊ.ləst
violist's	ˌviˈoʊ.ləsts|ˌviˈoʊ.ləs
violists	ˌviˈoʊ.ləsts|ˌviˈoʊ.ləs
vip	ˌviˌaɪˈpi
vip's	ˌviˌaɪˈpiz
viper	ˈvaɪ.pɚ
vipers	ˈvaɪ.pɚz
vipin	ˈvɪp.ɪn
vipond	ˈvɪp.ənd
vipont	ˈvɪpˌɑnt
vipont's	ˈvɪpˌɑnts
vipperman	ˈvɪp.ɚ.mən
vips	ˌviˌaɪˈpiz
vipul	ˌviˈpul
virag	ˈvɪɹ.əɡ
virago	vɪˈɹɑˌɡoʊ
viral	ˈvaɪ.ɹəl
viramontes	vɪ.ɹɑˈmoʊn.tɛs
viramune	ˌvi.ɹəˈmuˌnɛ
viramunes	ˌvi.ɹəˈmuˌnɛz
viratek	ˈvɪɹ.əˌtɛk
viray	ˈvaɪ.ɹeɪ
virazole	ˈvɪɹ.əˌzoʊl|ˈvaɪ.ɹəˌzoʊl
virco	ˈvɝ.koʊ
virden	ˈvɝ.dən
viren	ˈvɪɹ.ən
vires	vaɪɹz
virga	ˈvɝ.ɡə
virge	vɝdʒ
virgen	ˈvɝ.dʒən
virgie	ˈvɝ.ɡi
virgil	ˈvɝ.dʒəl
virgilio	vɚˈdʒɪl.i.oʊ
virgin	ˈvɝ.dʒɪn
virgin's	ˈvɝ.dʒənz
virginal	ˈvɝ.dʒə.nəl
virginia	vɚˈdʒɪn.jə
virginia's	vɚˈdʒɪn.jəz
virginian	vɚˈdʒɪn.jən
virginians	vɚˈdʒɪn.jənz
virginity	vɚˈdʒɪn.ɪ.ti
virgins	ˈvɝ.dʒənz
virgo	ˈvɝ.ɡoʊ
virgule	ˈvɪɹˌɡjul
virgules	ˈvɪɹˌɡjulz
virgy	ˈvɝ.dʒi
viridis	ˈvɪɹ.ɪˌdɪs
virile	ˈvɪɹ.əl
virility	vɚˈɪl.ə.ti
virina	vɪˈɹi.nə
virkler	ˈvɝ.kə.lɚ|ˈvɝ.klɚ
virna	ˈvɝ.nə
virnig	ˈvɝ.nɪɡ
virological	vaɪ.ɹəˈlɑ.dʒɪ.kəl
virologist	vɪˈɹɑ.lə.dʒɪst
virologists	vɪˈɹɑ.lə.dʒɪsts
virology	vɪˈɹɑ.lə.dʒi
viromune	ˌvaɪ.ɹoʊˈmjun
virts	vɝts
virtual	ˈvɝ.tʃu.əl
virtually	ˈvɝ.tʃu.ə.li|ˈvɝ.tʃu.li
virtue	ˈvɝ.tʃu
virtues	ˈvɝ.tʃuz
virtuosity	vɚ.tʃuˈɑ.sɪ.ti
virtuoso	vɚ.tʃuˈoʊ.soʊ
virtuous	ˈvɝ.tʃu.əs
virulence	ˈvɪɹ.ə.ləns
virulent	ˈvɪɹ.ə.lənt
virulently	ˈvɪɹ.ə.lənt.li
virus	ˈvaɪ.ɹəs
virus's	ˈvaɪ.ɹə.sɪz
viruses	ˈvaɪ.ɹə.səz|ˈvaɪ.ɹə.sɪz
virzi	ˈvɪɹ.zi
vis	vɪs
vis-a-vis	ˈvi.zə.vi
visa	ˈvi.zə
visa's	ˈvi.zəz
visage	ˈvɪz.ədʒ
visas	ˈvi.zəz
viscardi	viˈskɑɹ.di
visceral	ˈvɪs.ɚ.əl
viscerally	ˈvɪs.ɚ.ə.li
visclosky	vɪˈsklɔ.ski
visco	ˈvi.skoʊ
viscomi	viˈskoʊ.mi
visconti	viˈskoʊn.ti
viscosity	vɪˈskɑ.sə.ti
viscount	ˈvɪs.kaʊnt
viscounts	ˈvɪs.kaʊnts
viscous	ˈvɪs.kəs
viscusi	viˈsku.si
viscuso	viˈsku.soʊ
vise	vaɪs
visegrad	ˈvɪs.əˌɡɹæd
visenteno	ˌvɪ.sənˈtɛn.oʊ
vishay	ˈvɪʃ.eɪ
vishnu	ˈvɪʃ.nu
visibility	ˌvɪ.zəˈbɪl.ɪ.ti
visible	ˈvɪz.ə.bəl
visibly	ˈvɪz.ə.bli
visicalc	ˈvɪz.ɪˌkælk
visigoth	ˈvɪz.ə.ɡɑθ
visigoths	ˈvɪz.ə.ɡɑθs
vision	ˈvɪʒ.ən
vision's	ˈvɪʒ.ənz
visionaries	ˈvɪʒ.ə.nɛ.ɹiz
visionary	ˈvɪʒ.əˌnɛ.ɹi
visions	ˈvɪʒ.ənz
visit	ˈvɪz.ɪt
visitation	ˌvɪ.zɪˈteɪ.ʃən
visitations	ˌvɪ.zɪˈteɪ.ʃənz
visited	ˈvɪz.ɪ.tɪd
visiting	ˈvɪz.ɪ.tɪŋ
visitor	ˈvɪz.ɪ.tɚ
visitor's	ˈvɪz.ɪ.tɚz
visitors	ˈvɪz.ɪ.tɚz
visitors'	ˈvɪz.ɪ.tɚz
visits	ˈvɪz.ɪts
visnic	ˈvɪs.nɪtʃ
visor	ˈvaɪ.zɚ
visors	ˈvaɪ.zɚz
visscher	ˈvɪʃ.ɚ
visser	ˈvɪs.ɚ
vist	vɪst
vista	ˈvɪs.tə
vista's	ˈvɪs.təz
vistas	ˈvɪs.təz
viston	ˈvɪs.tən
visual	ˈvɪʒ.ə.wəl
visualization	ˌvɪʒ.wə.ləˈzeɪ.ʃən
visualize	ˈvɪʒ.wəˌlaɪz
visualized	ˈvɪʒ.wəˌlaɪzd
visualizing	ˈvɪʒ.wəˌlaɪ.zɪŋ
visually	ˈvɪʒ.wə.li
visuals	ˈvɪʒ.wəlz
visx	ˈvɪsˌɛks
vita	ˈvaɪ.tə
vitae	ˈvaɪ.tə
vitagliano	vi.tɑ.ɡliˈɑ.noʊ
vital	ˈvaɪ.təl
vitale	vɪˈtæl.i|ˌvaɪˈtæl
vitali	viˈtɑ.li
vitalink	ˈvaɪ.təˌlɪŋk
vitality	vaɪˈtæl.ə.ti
vitally	ˈvaɪ.tə.li
vitaly	vəˈtæl.i|viˈtɑ.li
vitamin	ˈvaɪ.tə.mən
vitamins	ˈvaɪ.tə.mənz
vitanza	vɪˈtæn.zə
vitarine	ˈvɪt.ɚˌin
vitarine's	ˈvɪt.ɚˌinz
vitek	ˈvɪt.ɛk
vitelli	vɪˈtɛl.i
vitello	vɪˈtɛl.oʊ
vitez	ˈvɪt.ɛz|ˈvaɪ.tɛz
viti	ˈvi.ti
vitia	ˈvi.ʃə
vitiate	ˈvi.ʃɪˌeɪt
vitiello	vi.tiˈɛl.oʊ
vitiligo	viˈtɪl.ɪ.ɡoʊ
vitner	ˈvɪt.nɚ
vito	ˈvi.toʊ
vitolo	viˈtoʊ.loʊ
vitramon	ˈvɪt.ɹə.mɑn
vitrano	viˈtɹɑ.noʊ
vitreous	ˈvɪt.ɹi.əs
vitric	ˈvɪt.ɹɪk
vitriol	ˈvɪt.ɹi.əl
vitriolic	ˌvɪ.tɹiˈɑ.lɪk
vitro	ˈvɪt.ɹoʊ|ˈvi.tɹoʊ
vitronics	ˌvaɪˈtɹɑ.nɪks
vitruvius	vɪˈtɹu.vi.əs
vitry	ˈvɪt.ɹi
vitt	vɪt
vittetoe	ˈvɪt.ɪ.toʊ
vittitow	ˈvɪt.ɪ.toʊ
vittle	ˈvɪt.əl
vittles	ˈvɪt.əlz
vittoria	vɪˈtɔ.ɹi.ə
vittorio	viˈtɔ.ɹi.oʊ
vitucci	viˈtu.tʃi
vitulli	viˈtu.li
vitullo	viˈtu.loʊ
vituperative	ˌvaɪˈtu.pɚ.ə.tɪv|vəˈtu.pɚ.ə.tɪv
viv	vɪv
viva	ˈvi.və
vivacious	vəˈveɪ.ʃəs
vivaldi	vɪˈvɑl.di
vivas	ˈvi.vəz
vive	viv|vaɪv
viveiros	viˈvɪɹ.oʊz
vivendi	vɪˈvɛn.di
viverette	ˈvɪv.ɚˈɛt
viveros	viˈvɛɹ.oʊz
vives	vaɪvz
vivian	ˈvɪv.i.ən
viviana	vɪ.viˈæn.ə
viviani	ˌvi.viˈɑ.ni
viviano	ˌvi.viˈɑ.noʊ
vivid	ˈvɪv.əd|ˈvɪv.ɪd
vividly	ˈvɪv.əd.li
vividness	ˈvɪv.əd.nəs
vivie	ˈvɪv.i
vivien	ˈvɪv.i.ən
vivienne	ˈvɪv.i.ən
vivier	ˈvaɪ.vi.ɚ
viviparous	vaɪˈvɪp.ɚ.əs
